Electrical_Capacitance,Skin_Temperature,Skin_Conductance,Ambient_Humidity,Ambient_Temperature,Time_of_Day,Target
64.63677755,31.5813874,1.075890685,65.66608648,33.47958392,1,1
20.86360932,32.83036362,0.839762012,77.10927272,32.04613464,2,0
66.79253275,31.04320439,1.285461487,77.36534496,20.98838248,3,1
61.42368972,28.50151697,2.439853051,40.56041293,33.16233863,3,0
73.71241026,33.63085673,0.804097135,60.16110678,23.32240323,2,1
77.23571462,28.27736213,1.357888667,75.27910688,30.16012769,1,1
63.74043008,34.9646274,2.232191267,39.13125651,23.74938472,1,0
79.43030852,30.9964231,1.146054692,62.49319609,29.09022504,3,1
76.57458223,33.75482898,0.900564036,54.32211936,30.22190919,1,1
51.38392549,35.66231841,1.503035921,70.50700454,26.81251205,1,1
63.34712692,32.74577256,0.968406742,53.67174668,28.22032246,1,0
36.28094191,32.10002119,0.684133972,56.01152446,23.85677756,1,0
59.81224232,34.03411979,0.565318122,51.97538902,32.80444893,3,1
30.58321919,30.31107951,1.269222152,73.82802454,27.67304291,2,0
63.20219219,31.56433311,1.814060996,74.86492479,31.59310905,1,0
78.38063329,30.41012209,0.983073683,72.96624755,25.39314717,2,1
67.74756017,28.56745773,2.083116405,60.3006916,20.39670354,1,1
61.63690667,28.39983223,1.299037569,52.77508476,22.14622093,3,1
67.83772195,32.37261714,1.81732271,46.71076686,34.21599206,1,0
23.81350102,35.27376165,1.675171742,54.20922492,21.5827047,2,0
62.95833373,31.98031882,0.836407312,62.68889615,21.42326345,2,1
41.81777614,29.49929555,1.542898048,63.45267577,28.08471312,1,0
22.15653643,30.21451446,0.651399455,55.20350399,32.70945118,1,0
57.73657081,35.33308189,0.562298186,79.3550043,29.94359379,2,1
69.14613906,34.90112377,2.241376911,71.93108981,28.81541704,3,1
71.32763504,31.64989207,2.316456977,32.48905008,34.11448682,1,0
29.35967122,34.0751861,2.165660754,48.84053139,25.45588282,1,0
51.13028343,34.17301529,1.655263509,55.79729393,30.63971442,2,1
66.3391035,28.52807875,1.626816729,65.19683335,21.43535174,3,1
27.17565476,34.20489481,1.400508492,34.5467725,32.94012744,2,0
69.27543828,33.43696266,0.733166149,65.95114102,22.55228962,3,1
72.02433911,31.90133655,1.946887325,62.07898406,21.04468802,3,1
28.2131378,32.11083571,1.823437365,61.24718852,31.72284694,3,0
57.93834984,32.96742854,0.543826658,50.54664525,21.89983809,1,1
42.39855898,35.15275442,1.290518631,71.96039765,33.75647758,2,0
41.50794371,35.87991725,0.809657225,57.83546283,25.54606716,2,0
29.97700213,30.19257271,0.601244945,37.51553112,29.13793087,3,0
57.67402337,29.97459095,1.249096487,75.09580539,34.89745608,1,1
43.29019557,28.09365289,2.092482901,65.22468182,32.19039565,3,0
59.81010615,34.86673341,1.996711707,50.33182634,20.878049,2,1
76.9879948,34.77575083,2.194775861,60.33446616,33.73914506,1,0
58.97797394,34.98203072,1.937479236,76.88523077,24.4266329,2,1
76.83700038,35.95855435,2.461136454,59.07124474,30.02270993,3,0
31.74746809,30.74533883,0.88185317,39.45388269,29.27519461,2,0
21.20427187,30.38441767,0.976293307,52.50121198,32.40737223,2,0
68.50384089,30.79605098,1.052638217,71.80593078,21.48452935,2,1
58.25344828,33.25424084,0.530789783,60.92925745,30.9451762,1,1
52.92402736,34.03169523,0.820730812,52.81584103,22.61015672,2,1
34.7574637,29.09280723,2.17836079,62.14010251,30.60546754,2,0
